interface	model	test	replicate	value	time
CPLEX_PY	iLJ478	LP	0	0.1773033816015399	0.056284189224243164
CPLEX_PY	iLJ478	MILP	0	5.0	0.058702945709228516
GUROBI	iLJ478	LP	0	0.17730338160154036	0.03180527687072754
GUROBI	iLJ478	MILP	0	5.0	0.06428122520446777
SCIP_CMD	iLJ478	LP	0	0.17730338160154	0.34751009941101074
SCIP_CMD	iLJ478	MILP	0	5.0	0.14049696922302246
HiGHS_CMD	iLJ478	LP	0	0.1773033816015	0.07292604446411133
HiGHS_CMD	iLJ478	MILP	0	5.0	0.18193697929382324
GLPK_CMD	iLJ478	LP	0	0.177303	0.0413968563079834
GLPK_CMD	iLJ478	MILP	0	5.0	0.16335797309875488
COIN_CMD	iLJ478	LP	0	0.17730338	0.16170191764831543
COIN_CMD	iLJ478	MILP	0	5.0	0.8840320110321045
CPLEX_PY	iLJ478	LP	1	0.1773033816015399	0.021808862686157227
CPLEX_PY	iLJ478	MILP	1	5.0	0.04809689521789551
GUROBI	iLJ478	LP	1	0.17730338160154036	0.013832807540893555
GUROBI	iLJ478	MILP	1	5.0	0.05194401741027832
SCIP_CMD	iLJ478	LP	1	0.17730338160154	0.07563185691833496
SCIP_CMD	iLJ478	MILP	1	5.0	0.13293790817260742
HiGHS_CMD	iLJ478	LP	1	0.1773033816015	0.03755521774291992
HiGHS_CMD	iLJ478	MILP	1	5.0	0.17790603637695312
GLPK_CMD	iLJ478	LP	1	0.177303	0.03679180145263672
GLPK_CMD	iLJ478	MILP	1	5.0	0.16216707229614258
COIN_CMD	iLJ478	LP	1	0.17730338	0.044677019119262695
COIN_CMD	iLJ478	MILP	1	5.0	0.8359458446502686
CPLEX_PY	iLJ478	LP	2	0.1773033816015399	0.021291017532348633
CPLEX_PY	iLJ478	MILP	2	5.0	0.0460820198059082
GUROBI	iLJ478	LP	2	0.17730338160154036	0.014070987701416016
GUROBI	iLJ478	MILP	2	5.0	0.05276799201965332
SCIP_CMD	iLJ478	LP	2	0.17730338160154	0.07729101181030273
SCIP_CMD	iLJ478	MILP	2	5.0	0.13321805000305176
HiGHS_CMD	iLJ478	LP	2	0.1773033816015	0.0371708869934082
HiGHS_CMD	iLJ478	MILP	2	5.0	0.1777491569519043
GLPK_CMD	iLJ478	LP	2	0.177303	0.03637409210205078
GLPK_CMD	iLJ478	MILP	2	5.0	0.16148591041564941
COIN_CMD	iLJ478	LP	2	0.17730338	0.04570174217224121
COIN_CMD	iLJ478	MILP	2	5.0	0.837151050567627
CPLEX_PY	iLJ478	LP	3	0.1773033816015399	0.021419048309326172
CPLEX_PY	iLJ478	MILP	3	5.0	0.04561901092529297
GUROBI	iLJ478	LP	3	0.17730338160154036	0.013717174530029297
GUROBI	iLJ478	MILP	3	5.0	0.05111503601074219
SCIP_CMD	iLJ478	LP	3	0.17730338160154	0.08752679824829102
SCIP_CMD	iLJ478	MILP	3	5.0	0.1336820125579834
HiGHS_CMD	iLJ478	LP	3	0.1773033816015	0.03711819648742676
HiGHS_CMD	iLJ478	MILP	3	5.0	0.17658710479736328
GLPK_CMD	iLJ478	LP	3	0.177303	0.0369420051574707
GLPK_CMD	iLJ478	MILP	3	5.0	0.1615281105041504
COIN_CMD	iLJ478	LP	3	0.17730338	0.044294118881225586
COIN_CMD	iLJ478	MILP	3	5.0	0.8342001438140869
CPLEX_PY	iLJ478	LP	4	0.1773033816015399	0.0213320255279541
CPLEX_PY	iLJ478	MILP	4	5.0	0.04671502113342285
GUROBI	iLJ478	LP	4	0.17730338160154036	0.013862848281860352
GUROBI	iLJ478	MILP	4	5.0	0.05147814750671387
SCIP_CMD	iLJ478	LP	4	0.17730338160154	0.07555079460144043
SCIP_CMD	iLJ478	MILP	4	5.0	0.13398289680480957
HiGHS_CMD	iLJ478	LP	4	0.1773033816015	0.03705191612243652
HiGHS_CMD	iLJ478	MILP	4	5.0	0.1765909194946289
GLPK_CMD	iLJ478	LP	4	0.177303	0.03700113296508789
GLPK_CMD	iLJ478	MILP	4	5.0	0.1610090732574463
COIN_CMD	iLJ478	LP	4	0.17730338	0.044618844985961914
COIN_CMD	iLJ478	MILP	4	5.0	0.8435380458831787
CPLEX_PY	iLJ478	LP	5	0.1773033816015399	0.02125096321105957
CPLEX_PY	iLJ478	MILP	5	5.0	0.04926300048828125
GUROBI	iLJ478	LP	5	0.17730338160154036	0.014081001281738281
GUROBI	iLJ478	MILP	5	5.0	0.05215001106262207
SCIP_CMD	iLJ478	LP	5	0.17730338160154	0.0762178897857666
SCIP_CMD	iLJ478	MILP	5	5.0	0.13438701629638672
HiGHS_CMD	iLJ478	LP	5	0.1773033816015	0.037567853927612305
HiGHS_CMD	iLJ478	MILP	5	5.0	0.17829084396362305
GLPK_CMD	iLJ478	LP	5	0.177303	0.03788280487060547
GLPK_CMD	iLJ478	MILP	5	5.0	0.16140103340148926
COIN_CMD	iLJ478	LP	5	0.17730338	0.04477810859680176
COIN_CMD	iLJ478	MILP	5	5.0	0.8376760482788086
CPLEX_PY	iLJ478	LP	6	0.1773033816015399	0.021512985229492188
CPLEX_PY	iLJ478	MILP	6	5.0	0.04411911964416504
GUROBI	iLJ478	LP	6	0.17730338160154036	0.013844966888427734
GUROBI	iLJ478	MILP	6	5.0	0.05268573760986328
