interface	lpmethod	size	rep	time	value
CPLEX_PY	primal	1	0	0.10010385513305664	3.988943205922703
CPLEX_PY	dual	1	0	0.06079697608947754	3.988943205922703
CPLEX_PY	barrier	1	0	0.06176304817199707	3.988943205922703
GUROBI	primal	1	0	0.04298520088195801	3.9889432059227032
GUROBI	dual	1	0	0.02795886993408203	3.9889432059226975
GUROBI	barrier	1	0	0.051254987716674805	3.9889432059226992
SCIP_CMD	primal	1	0	0.2788558006286621	3.98894320591949
SCIP_CMD	dual	1	0	0.1483299732208252	3.98894320591949
SCIP_CMD	barrier	1	0	0.14856696128845215	3.98894320591949
HiGHS_CMD	primal	1	0	0.0932319164276123	3.9889432059222
HiGHS_CMD	dual	1	0	0.06915712356567383	3.9889432059222
HiGHS_CMD	barrier	1	0	0.08281707763671875	3.9889432059222
GLPK_CMD	primal	1	0	0.07157111167907715	3.98894
GLPK_CMD	dual	1	0	0.10089921951293945	3.98894
GLPK_CMD	barrier	1	0	0.0962989330291748	
COIN_CMD	primal	1	0	0.12564730644226074	3.9889432
COIN_CMD	dual	1	0	0.089080810546875	3.9889558
COIN_CMD	barrier	1	0	0.0887751579284668	3.9889432
CPLEX_PY	primal	1	1	0.03383612632751465	5.931997979169338
CPLEX_PY	dual	1	1	0.032325029373168945	5.931997979169338
CPLEX_PY	barrier	1	1	0.03267192840576172	5.931997979169338
GUROBI	primal	1	1	0.020395755767822266	5.931997979169373
GUROBI	dual	1	1	0.02059006690979004	5.931997979169372
GUROBI	barrier	1	1	0.025651931762695312	5.931997979169358
SCIP_CMD	primal	1	1	0.11835813522338867	5.93199797916233
SCIP_CMD	dual	1	1	0.11605405807495117	5.93199797916233
SCIP_CMD	barrier	1	1	0.11461710929870605	5.93199797916233
HiGHS_CMD	primal	1	1	0.05881381034851074	5.9319979791683
HiGHS_CMD	dual	1	1	0.05557513236999512	5.9319979791683
HiGHS_CMD	barrier	1	1	0.06461119651794434	5.9319979791682
GLPK_CMD	primal	1	1	0.055999040603637695	5.932
GLPK_CMD	dual	1	1	0.07189106941223145	5.932
GLPK_CMD	barrier	1	1	0.0971529483795166	
COIN_CMD	primal	1	1	0.05787992477416992	5.931998
COIN_CMD	dual	1	1	0.06894898414611816	5.9319979
COIN_CMD	barrier	1	1	0.06773805618286133	5.931998
CPLEX_PY	primal	1	2	0.05004715919494629	26.07381066840949
CPLEX_PY	dual	1	2	0.04900193214416504	26.07381066840949
CPLEX_PY	barrier	1	2	0.04820609092712402	26.07381066840949
GUROBI	primal	1	2	0.031851768493652344	26.073810668409457
GUROBI	dual	1	2	0.030859947204589844	26.07381066840949
GUROBI	barrier	1	2	0.04135394096374512	26.073810668409465
SCIP_CMD	primal	1	2	0.15095996856689453	26.0738106684089
SCIP_CMD	dual	1	2	0.14835023880004883	26.0738106684089
SCIP_CMD	barrier	1	2	0.14660096168518066	26.0738106684089
HiGHS_CMD	primal	1	2	0.08481097221374512	26.0738106684099
HiGHS_CMD	dual	1	2	0.07711505889892578	26.0738106684099
HiGHS_CMD	barrier	1	2	0.08913111686706543	26.0738106684099
GLPK_CMD	primal	1	2	0.0912320613861084	26.0738
GLPK_CMD	dual	1	2	0.10515141487121582	26.0738
GLPK_CMD	barrier	1	2	0.12566876411437988	
COIN_CMD	primal	1	2	0.08053779602050781	26.073811
COIN_CMD	dual	1	2	0.09347820281982422	26.073812
COIN_CMD	barrier	1	2	0.09534096717834473	26.073811
CPLEX_PY	primal	1	3	0.05323600769042969	10.277475846064483
CPLEX_PY	dual	1	3	0.051904916763305664	10.277475846064483
CPLEX_PY	barrier	1	3	0.05138278007507324	10.277475846064483
GUROBI	primal	1	3	0.03016185760498047	10.277475846064485
GUROBI	dual	1	3	0.030052900314331055	10.277475846064483
GUROBI	barrier	1	3	0.045591115951538086	10.277475846064485
SCIP_CMD	primal	1	3	0.15108609199523926	10.277475846072
SCIP_CMD	dual	1	3	0.1464388370513916	10.277475846072
SCIP_CMD	barrier	1	3	0.14903998374938965	10.277475846072
HiGHS_CMD	primal	1	3	0.07938575744628906	10.2774758460638
HiGHS_CMD	dual	1	3	0.07673215866088867	10.2774758460638
HiGHS_CMD	barrier	1	3	0.0888669490814209	10.2774758460638
GLPK_CMD	primal	1	3	0.06815791130065918	10.2775
GLPK_CMD	dual	1	3	0.10101008415222168	10.2775
GLPK_CMD	barrier	1	3	0.11705183982849121	
COIN_CMD	primal	1	3	0.07217192649841309	10.277476
