interface,size,rep,time,value,rel
CPLEX_PY,1,0,0.06243085861206055,24.918340055932575,0.06243085861206055
GUROBI,1,0,0.03843212127685547,24.91834005593265,0.03843212127685547
SCIP_CMD,1,0,0.15939807891845703,24.9183400559217,0.15939807891845703
HiGHS_CMD,1,0,0.0825660228729248,24.9183400559307,0.0825660228729248
GLPK_CMD,1,0,0.08723807334899902,24.9183,0.08723807334899902
COIN_CMD,1,0,0.10518884658813477,24.918341,0.10518884658813477
CPLEX_PY,1,1,0.04021096229553223,2.771317121779228,0.04021096229553223
GUROBI,1,1,0.024815797805786133,2.7713171217792336,0.024815797805786133
SCIP_CMD,1,1,0.13997197151184082,2.77131712177511,0.13997197151184082
HiGHS_CMD,1,1,0.062417030334472656,2.7713171217786,0.062417030334472656
GLPK_CMD,1,1,0.06684017181396484,2.77132,0.06684017181396484
COIN_CMD,1,1,0.06758403778076172,2.7713171,0.06758403778076172
CPLEX_PY,1,2,0.034178972244262695,3.1711605794518674,0.034178972244262695
GUROBI,1,2,0.01821589469909668,3.1711605794518367,0.01821589469909668
SCIP_CMD,1,2,0.11373019218444824,3.17116057943909,0.11373019218444824
HiGHS_CMD,1,2,0.05365705490112305,3.1711605794494,0.05365705490112305
GLPK_CMD,1,2,0.05166292190551758,3.17116,0.05166292190551758
COIN_CMD,1,2,0.05678510665893555,3.1711606,0.05678510665893555
CPLEX_PY,1,3,0.04434370994567871,9.661859400755157,0.04434370994567871
GUROBI,1,3,0.028488874435424805,9.661859400755159,0.028488874435424805
SCIP_CMD,1,3,0.14043021202087402,9.66185940074337,0.14043021202087402
HiGHS_CMD,1,3,0.06792330741882324,9.6618594007533,0.06792330741882324
GLPK_CMD,1,3,0.07489299774169922,9.66186,0.07489299774169922
COIN_CMD,1,3,0.08081221580505371,9.661859,0.08081221580505371
CPLEX_PY,1,4,0.04483604431152344,9.568364652012951,0.04483604431152344
GUROBI,1,4,0.028380870819091797,9.568364652012995,0.028380870819091797
SCIP_CMD,1,4,0.14806079864501953,9.56836465200548,0.14806079864501953
HiGHS_CMD,1,4,0.08165812492370605,9.5683646520118,0.08165812492370605
GLPK_CMD,1,4,0.06901407241821289,9.56836,0.06901407241821289
COIN_CMD,1,4,0.07268929481506348,9.5683644,0.07268929481506348
CPLEX_PY,1,5,0.04488873481750488,1.9199444821159275,0.04488873481750488
GUROBI,1,5,0.02736806869506836,1.9199444821159315,0.02736806869506836
SCIP_CMD,1,5,0.13630986213684082,1.9199444821133,0.13630986213684082
HiGHS_CMD,1,5,0.07508301734924316,1.9199444821155,0.07508301734924316
GLPK_CMD,1,5,0.06178689002990723,1.91994,0.06178689002990723
COIN_CMD,1,5,0.07783293724060059,1.9199446,0.07783293724060059
CPLEX_PY,1,6,0.034600019454956055,5.286662321456259,0.034600019454956055
GUROBI,1,6,0.021015167236328125,5.286662321456236,0.021015167236328125
