interface	size	test	rep	time	value
CPLEX_PY	1	LP	0	0.04731893539428711	11.511531880194903
GUROBI	1	LP	0	0.028155803680419922	11.511531880194896
SCIP_CMD	1	LP	0	0.16403985023498535	11.5115318802023
HiGHS_CMD	1	LP	0	0.08550786972045898	11.5115318801936
GLPK_CMD	1	LP	0	0.05887198448181152	11.5115
COIN_CMD	1	LP	0	0.06904125213623047	11.511532
CPLEX_PY	1	LP2	0	0.12388205528259277	9686.369954828793
GUROBI	1	LP2	0	0.13800597190856934	9686.369954828791
SCIP_CMD	1	LP2	0	0.344440221786499	9686.369954848911
HiGHS_CMD	1	LP2	0	0.19153308868408203	9686.369954826678
GLPK_CMD	1	LP2	0	0.2012958526611328	9686.341231430004
COIN_CMD	1	LP2	0	0.2031707763671875	9686.370058028488
CPLEX_PY	1	LP	1	0.037683963775634766	1.9511296732939856
GUROBI	1	LP	1	0.027492284774780273	1.9511296732939858
SCIP_CMD	1	LP	1	0.13492298126220703	1.95112967329098
HiGHS_CMD	1	LP	1	0.0661160945892334	1.9511296732935
GLPK_CMD	1	LP	1	0.05918002128601074	1.95113
COIN_CMD	1	LP	1	0.06763005256652832	1.9511297
CPLEX_PY	1	LP2	1	0.12525486946105957	3702.424443009425
GUROBI	1	LP2	1	0.14504504203796387	3702.424443010487
SCIP_CMD	1	LP2	1	0.34285783767700195	3702.424442980657
HiGHS_CMD	1	LP2	1	0.1929919719696045	3702.42444299569
GLPK_CMD	1	LP2	1	0.20406723022460938	
COIN_CMD	1	LP2	1	0.19333887100219727	
CPLEX_PY	1	LP	2	0.05578017234802246	7.367380416932294
GUROBI	1	LP	2	0.03894782066345215	7.367380416932293
SCIP_CMD	1	LP	2	0.1804049015045166	7.3673804169282
HiGHS_CMD	1	LP	2	0.08862519264221191	7.3673804169314
GLPK_CMD	1	LP	2	0.07993769645690918	7.36738
COIN_CMD	1	LP	2	0.08604907989501953	7.3673802
CPLEX_PY	1	LP2	2	0.19801592826843262	8355.269667808145
GUROBI	1	LP2	2	0.1655888557434082	8355.269667808294
SCIP_CMD	1	LP2	2	0.5114350318908691	8355.269667827843
HiGHS_CMD	1	LP2	2	0.33716821670532227	8355.269667806318
GLPK_CMD	1	LP2	2	0.3142580986022949	8355.26693395
COIN_CMD	1	LP2	2	0.2839221954345703	8355.268101888223
CPLEX_PY	1	LP	3	0.04418683052062988	10.181373844979074
GUROBI	1	LP	3	0.03334689140319824	10.181373844979072
SCIP_CMD	1	LP	3	0.1550307273864746	10.1813738449666
HiGHS_CMD	1	LP	3	0.0823829174041748	10.1813738449771
GLPK_CMD	1	LP	3	0.07068395614624023	10.1814
COIN_CMD	1	LP	3	0.08381795883178711	10.181375
CPLEX_PY	1	LP2	3	0.14131712913513184	10338.307674426462
GUROBI	1	LP2	3	0.11451196670532227	10338.30767442629
SCIP_CMD	1	LP2	3	0.46894001960754395	10338.30767471338
HiGHS_CMD	1	LP2	3	0.22222685813903809	10338.30767445123
GLPK_CMD	1	LP2	3	0.22770404815673828	
COIN_CMD	1	LP2	3	0.21944689750671387	
CPLEX_PY	1	LP	4	0.04753398895263672	11.160361287966001
GUROBI	1	LP	4	0.03805279731750488	11.160361287965992
SCIP_CMD	1	LP	4	0.16427111625671387	11.1603612879604
HiGHS_CMD	1	LP	4	0.0850980281829834	11.1603612879652
GLPK_CMD	1	LP	4	0.07720184326171875	11.1604
COIN_CMD	1	LP	4	0.09157395362854004	11.160358
CPLEX_PY	1	LP2	4	0.16382312774658203	21120.3463398542
GUROBI	1	LP2	4	0.12995600700378418	21120.346339848642
SCIP_CMD	1	LP2	4	0.41490793228149414	21120.346343850888
HiGHS_CMD	1	LP2	4	0.30855512619018555	21120.34634033438
GLPK_CMD	1	LP2	4	0.254209041595459	
COIN_CMD	1	LP2	4	0.24773097038269043	21120.015800993595
CPLEX_PY	1	LP	5	0.03478693962097168	3.0256509441003567
GUROBI	1	LP	5	0.025798797607421875	3.025650944100343
SCIP_CMD	1	LP	5	0.12450289726257324	3.02565094409535
HiGHS_CMD	1	LP	5	0.06668710708618164	3.0256509440995
GLPK_CMD	1	LP	5	0.06130480766296387	3.02565
COIN_CMD	1	LP	5	0.06870603561401367	3.0256493
CPLEX_PY	1	LP2	5	0.10923600196838379	3035.8090542994228
GUROBI	1	LP2	5	0.08806514739990234	3035.8090542995083
SCIP_CMD	1	LP2	5	0.30918383598327637	3035.8090543196026
HiGHS_CMD	1	LP2	5	0.18070507049560547	3035.8090543011854
GLPK_CMD	1	LP2	5	0.19710302352905273	3035.8056964869984
COIN_CMD	1	LP2	5	0.17659425735473633	3035.8029112495715
CPLEX_PY	1	LP	6	0.050897836685180664	6.091844135732532
GUROBI	1	LP	6	0.03670501708984375	6.091844135732531
SCIP_CMD	1	LP	6	0.15566515922546387	6.09184413572762
HiGHS_CMD	1	LP	6	0.08388590812683105	6.0918441357316
GLPK_CMD	1	LP	6	0.07419800758361816	6.09184
COIN_CMD	1	LP	6	0.0887291431427002	6.0918439
CPLEX_PY	1	LP2	6	0.17025089263916016	7562.756870365858
GUROBI	1	LP2	6	0.13512873649597168	7562.756870365832
SCIP_CMD	1	LP2	6	0.4185781478881836	7562.75687039164
HiGHS_CMD	1	LP2	6	0.2529261112213135	7562.756870370217
GLPK_CMD	1	LP2	6	0.3005528450012207	7562.714893424997
COIN_CMD	1	LP2	6	0.24970793724060059	7562.754456847705
CPLEX_PY	1	LP	7	0.03714704513549805	16.262757165523205
GUROBI	1	LP	7	0.027616024017333984	16.262757165523176
SCIP_CMD	1	LP	7	0.1315910816192627	16.2627571655175
HiGHS_CMD	1	LP	7	0.07018184661865234	16.2627571655221
GLPK_CMD	1	LP	7	0.06348109245300293	16.2628
COIN_CMD	1	LP	7	0.0691671371459961	16.262753
CPLEX_PY	1	LP2	7	0.12432980537414551	15850.04109820212
GUROBI	1	LP2	7	0.1671919822692871	15850.041098202071
SCIP_CMD	1	LP2	7	0.33278584480285645	15850.04109812407
HiGHS_CMD	1	LP2	7	0.20815110206604004	15850.041098192927
GLPK_CMD	1	LP2	7	0.20485186576843262	
COIN_CMD	1	LP2	7	0.1970982551574707	15850.021966465913
CPLEX_PY	1	LP	8	0.019607067108154297	6.0282538217535775
GUROBI	1	LP	8	0.01452493667602539	6.028253821753575
SCIP_CMD	1	LP	8	0.08315801620483398	6.02825382175596
HiGHS_CMD	1	LP	8	0.04609823226928711	6.028253821754
GLPK_CMD	1	LP	8	0.04144287109375	6.02825
COIN_CMD	1	LP	8	0.0507051944732666	6.0282538
CPLEX_PY	1	LP2	8	0.0693669319152832	7213.9685540427745
GUROBI	1	LP2	8	0.05514883995056152	7213.968554042663
SCIP_CMD	1	LP2	8	0.20587587356567383	7213.968554223097
HiGHS_CMD	1	LP2	8	0.12514400482177734	7213.96855404192
GLPK_CMD	1	LP2	8	0.12124323844909668	7213.804307659008
