interface	model	test	replicate	value	time
CPLEX_PY	iLJ478	LP	0	0.17730338160154005	0.023654699325561523
GUROBI	iLJ478	LP	0	0.17730338160154036	0.014248132705688477
SCIP_CMD	iLJ478	LP	0	0.17730338160154	0.07784605026245117
HiGHS_CMD	iLJ478	LP	0	0.1773033816015	0.036479949951171875
GLPK_CMD	iLJ478	LP	0	0.177303	0.032860755920410156
COIN_CMD	iLJ478	LP	0	0.17730338	0.04417300224304199
CPLEX_PY	iLJ478	LP2	0	242.72268879040297	0.05786418914794922
GUROBI	iLJ478	LP2	0	242.72268985425006	0.049890756607055664
SCIP_CMD	iLJ478	LP2	0		0.18126296997070312
HiGHS_CMD	iLJ478	LP2	0	242.7226903856561	0.09731674194335938
GLPK_CMD	iLJ478	LP2	0	242.7166651954568	0.09471988677978516
COIN_CMD	iLJ478	LP2	0	242.72267025023018	0.11357593536376953
CPLEX_PY	iLJ478	MILP	0	5.0	0.05436301231384277
GUROBI	iLJ478	MILP	0	5.0	0.054995059967041016
SCIP_CMD	iLJ478	MILP	0	5.0	0.1356639862060547
HiGHS_CMD	iLJ478	MILP	0	5.0	0.18920493125915527
GLPK_CMD	iLJ478	MILP	0	5.0	0.15823698043823242
COIN_CMD	iLJ478	MILP	0	5.0	0.843940019607544
