interface	model	test	replicate	value	time
CPLEX_PY	iLJ478	LP	0	0.1773033816015399	0.026356220245361328
CPLEX_PY	iLJ478	LP	1	0.1773033816015399	0.01998591423034668
CPLEX_PY	iLJ478	LP	2	0.1773033816015399	0.019286155700683594
CPLEX_PY	iLJ478	LP	3	0.1773033816015399	0.01994919776916504
CPLEX_PY	iLJ478	LP	4	0.1773033816015399	0.01953411102294922
CPLEX_PY	iLJ478	LP	5	0.1773033816015399	0.04304194450378418
CPLEX_PY	iLJ478	LP	6	0.1773033816015399	0.0195920467376709
CPLEX_PY	iLJ478	LP	7	0.1773033816015399	0.019286155700683594
CPLEX_PY	iLJ478	LP	8	0.1773033816015399	0.019405126571655273
CPLEX_PY	iLJ478	LP	9	0.1773033816015399	0.01998114585876465
GUROBI	iLJ478	LP	0	0.17730338160154036	0.016751766204833984
GUROBI	iLJ478	LP	1	0.17730338160154036	0.013051271438598633
GUROBI	iLJ478	LP	2	0.17730338160154036	0.013010263442993164
GUROBI	iLJ478	LP	3	0.17730338160154036	0.013100862503051758
GUROBI	iLJ478	LP	4	0.17730338160154036	0.012914896011352539
GUROBI	iLJ478	LP	5	0.17730338160154036	0.013010263442993164
GUROBI	iLJ478	LP	6	0.17730338160154036	0.012877941131591797
GUROBI	iLJ478	LP	7	0.17730338160154036	0.013318061828613281
GUROBI	iLJ478	LP	8	0.17730338160154036	0.012866735458374023
GUROBI	iLJ478	LP	9	0.17730338160154036	0.01305699348449707
GLPK_CMD	iLJ478	LP	0	0.177303	0.06919503211975098
GLPK_CMD	iLJ478	LP	1	0.177303	0.03458690643310547
GLPK_CMD	iLJ478	LP	2	0.177303	0.03447103500366211
GLPK_CMD	iLJ478	LP	3	0.177303	0.03418540954589844
GLPK_CMD	iLJ478	LP	4	0.177303	0.03406500816345215
GLPK_CMD	iLJ478	LP	5	0.177303	0.03401613235473633
GLPK_CMD	iLJ478	LP	6	0.177303	0.0352780818939209
GLPK_CMD	iLJ478	LP	7	0.177303	0.034433603286743164
GLPK_CMD	iLJ478	LP	8	0.177303	0.034399986267089844
GLPK_CMD	iLJ478	LP	9	0.177303	0.03612804412841797
COIN_CMD	iLJ478	LP	0	0.17730338	0.12130403518676758
COIN_CMD	iLJ478	LP	1	0.17730338	0.04738306999206543
COIN_CMD	iLJ478	LP	2	0.17730338	0.04478001594543457
COIN_CMD	iLJ478	LP	3	0.17730338	0.0451509952545166
COIN_CMD	iLJ478	LP	4	0.17730338	0.043612003326416016
COIN_CMD	iLJ478	LP	5	0.17730338	0.043250322341918945
COIN_CMD	iLJ478	LP	6	0.17730338	0.044677019119262695
COIN_CMD	iLJ478	LP	7	0.17730338	0.04512190818786621
COIN_CMD	iLJ478	LP	8	0.17730338	0.046649932861328125
COIN_CMD	iLJ478	LP	9	0.17730338	0.04484105110168457
SCIP_CMD	iLJ478	LP	0	0.17730338160154	0.1891031265258789
SCIP_CMD	iLJ478	LP	1	0.17730338160154	0.07638001441955566
SCIP_CMD	iLJ478	LP	2	0.17730338160154	0.07497715950012207
SCIP_CMD	iLJ478	LP	3	0.17730338160154	0.0755608081817627
SCIP_CMD	iLJ478	LP	4	0.17730338160154	0.07427120208740234
SCIP_CMD	iLJ478	LP	5	0.17730338160154	0.07504487037658691
SCIP_CMD	iLJ478	LP	6	0.17730338160154	0.0748598575592041
SCIP_CMD	iLJ478	LP	7	0.17730338160154	0.07599401473999023
SCIP_CMD	iLJ478	LP	8	0.17730338160154	0.07529187202453613
SCIP_CMD	iLJ478	LP	9	0.17730338160154	0.07502317428588867
HiGHS_CMD	iLJ478	LP	0	0.1773033816015	0.07248997688293457
HiGHS_CMD	iLJ478	LP	1	0.1773033816015	0.03697514533996582
HiGHS_CMD	iLJ478	LP	2	0.1773033816015	0.037938833236694336
HiGHS_CMD	iLJ478	LP	3	0.1773033816015	0.037480831146240234
HiGHS_CMD	iLJ478	LP	4	0.1773033816015	0.037139892578125
HiGHS_CMD	iLJ478	LP	5	0.1773033816015	0.03769397735595703
